User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5
29,OnePlus 9,Android,452,6.8,2387,77,1456,55,Female,4
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,19,Female,4
31,Xiaomi Mi 11,Android,260,6.0,1361,44,889,37,Female,3
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3
34,Google Pixel 5,Android,46,2.0,457,14,105,58,Male,1
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,2
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,5
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,4
40,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,23,Male,4
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3
42,OnePlus 9,Android,576,10.1,2447,83,2323,33,Male,5
43,Samsung Galaxy S21,Android,120,2.1,720,39,392,43,Male,2
44,Samsung Galaxy S21,Android,152,3.7,993,32,429,18,Male,2
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,5
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,5
50,OnePlus 9,Android,589,8.7,2736,82,1997,49,Male,5
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3
53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,2
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2
55,Google Pixel 5,Android,516,8.7,2857,83,2189,53,Female,5
56,iPhone 12,iOS,68,1.6,450,14,111,30,Male,1
57,OnePlus 9,Android,64,1.1,572,10,161,42,Female,1
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,5
59,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,22,Male,4
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,4
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5
65,Samsung Galaxy S21,Android,459,7.0,1982,67,1091,43,Male,4
66,iPhone 12,iOS,225,4.0,1420,48,917,56,Male,3
67,iPhone 12,iOS,257,4.5,1705,57,912,55,Male,3
68,Xiaomi Mi 11,Android,134,4.0,773,35,449,28,Female,2
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,5
70,Google Pixel 5,Android,82,1.7,558,16,284,29,Female,1
71,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,45,Female,4
72,iPhone 12,iOS,521,9.0,2902,97,1701,37,Male,5
73,Google Pixel 5,Android,457,6.3,2347,66,1082,22,Male,4
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1
75,iPhone 12,iOS,47,2.0,476,14,125,39,Male,1
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3
77,Xiaomi Mi 11,Android,34,2.0,558,14,122,54,Female,1
78,Google Pixel 5,Android,173,2.5,678,29,301,30,Female,2
79,Samsung Galaxy S21,Android,78,1.8,333,17,138,51,Female,1
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,3
81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,5
82,iPhone 12,iOS,172,2.8,1035,22,549,41,Male,2
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,3
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4
87,Samsung Galaxy S21,Android,151,2.4,1003,25,392,39,Male,2
88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,1
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2
90,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,45,Male,4
91,Google Pixel 5,Android,116,2.1,912,39,307,40,Female,2
92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,3
93,iPhone 12,iOS,84,1.4,501,16,284,56,Female,1
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,2
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,4
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,5
98,OnePlus 9,Android,516,12.0,2406,82,1968,28,Female,5
99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1
100,OnePlus 9,Android,225,5.5,1526,44,875,50,Female,3
